coordinates,Country,maps_url,type,info/comments,config type,name
"41.046563, -81.570276",United States,"https://www.google.com/maps/place/41%C2%B002'47.6%22N+81%C2%B034'13.0%22W/@41.046563,-81.5713328,295m/data=!3m2!1e3!4b1!4m13!1m8!3m7!1s0x8830d42c0d9ec3a1:0x896fd6c0e4d02df1!2sBattles+Ave,+Akron,+OH+44314!3b1!8m2!3d41.0466301!4d-81.5640481!16s%2Fg%2F1tmcmwsv!3m3!8m2!3d41.046563!4d-81.570276",Flock Camera,East Ave/Battle Ave,Config 2,
"41.083783, -81.569590",United States,"https://www.google.com/maps/place/41%C2%B005'01.6%22N+81%C2%B034'10.5%22W/@41.083784,-81.5701372,19z/data=!3m1!4b1!4m4!3m3!8m2!3d41.083783!4d-81.56959",Flock Camera,Hawkins/Copley,Config 1,
"41.083864, -81.569164",United States,"https://www.google.com/maps/place/41%C2%B005'01.9%22N+81%C2%B034'09.0%22W/@41.083865,-81.5697112,19z/data=!3m1!4b1!4m4!3m3!8m2!3d41.083864!4d-81.569164",Flock Camera,Hawkins/Copley,Config 1,
"41.043850, -81.557247",United States,"https://www.google.com/maps/place/41%C2%B002'37.9%22N+81%C2%B033'26.1%22W/@41.0438517,-81.5581942,18z/data=!3m1!4b1!4m4!3m3!8m2!3d41.04385!4d-81.557247",Flock Camera,Kenmore/13th st,Config 2,
"41.091595, -81.532009",United States,"https://www.google.com/maps/place/41%C2%B005'29.7%22N+81%C2%B031'55.2%22W/@41.091596,-81.5325562,299m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d41.091595!4d-81.532009",Flock Camera,"Market, Circle K, near IPromise",Config 2,
"41.089984, -81.527719",United States,"https://www.google.com/maps/place/41%C2%B005'23.9%22N+81%C2%B031'39.8%22W/@41.089985,-81.5282662,299m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d41.089984!4d-81.527719",Flock Camera,"Market, Drive Motocross, near IPromise",Config 2,
"41.090982, -81.528671",United States,"https://www.google.com/maps/place/41%C2%B005'27.5%22N+81%C2%B031'43.2%22W/@41.090983,-81.5292182,299m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d41.090982!4d-81.528671",Flock Camera,"North, Valley St, near IPromise.",Config 1,
"41.070855, -81.487075",United States,"https://www.google.com/maps/place/41%C2%B004'15.1%22N+81%C2%B029'13.5%22W/@41.0710828,-81.4872587,299m/data=!3m1!1e3!4m4!3m3!8m2!3d41.070855!4d-81.487075!5m1!1e4",Flock Camera,"Case Ave, Facing Bank/Case/Eastland/Newton",Unknown,
"41.073250, -81.484226",United States,"https://www.google.com/maps/place/41%C2%B004'23.7%22N+81%C2%B029'03.2%22W/@41.073251,-81.4847732,299m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d41.07325!4d-81.484226!5m1!1e4",Flock Camera,"Case Ave, Bank St Intersection",Config 1,
"41.039944, -81.526739",United States,"https://www.google.com/maps/place/41%C2%B002'23.8%22N+81%C2%B031'36.3%22W/@41.039945,-81.5272862,19z/data=!3m1!4b1!4m4!3m3!8m2!3d41.039944!4d-81.526739!5m1!1e4",Flock Camera,"S Main, Wilbeth",Unknown,
"41.072914,-81.4512547",United States,"https://www.google.com/maps/place/41%C2%B004'22.5%22N+81%C2%B027'02.2%22W/@41.072914,-81.4512547,280m/data=!3m2!1e3!4b1!4m12!1m7!3m6!1s0x88312918b16412ed:0x2b71289a23df4ae3!2sGoodyear+Heights+Metro+Park!8m2!3d41.0788777!4d-81.4504768!16s%2Fg%2F1tx_6_tn!3m3!8m2!3d41.072914!4d-81.450611?entry=ttu",Flock Camera,Entrance to Goodyear Heights Metro Park,Config 1,
"41.09725, -81.545444",United States,"https://www.google.com/maps/place/41%C2%B005'50.1%22N+81%C2%B032'43.6%22W/@41.097258,-81.5466497,295m/data=!3m2!1e3!4b1!4m13!1m8!3m7!1s0x8830d7b10dcf39e1:0x4ae65da425b0f162!2sN+Portage+Path+%26+W+Market+St,+Akron,+OH+44303!3b1!8m2!3d41.097363!4d-81.5453872!16s%2Fg%2F11h9_nj087!3m3!8m2!3d41.097257!4d-81.545432?entry=ttu&g_ep=EgoyMDI0MDgyOC4wIKXMDSoASAFQAw%3D%3D",Flock Camera,Portage Path/W Market St #1,Config 2,
"41.097556, -81.545556",United States,"https://www.google.com/maps/place/41%C2%B005'51.1%22N+81%C2%B032'44.0%22W/@41.09754,-81.5462057,295m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d41.097539!4d-81.545562?entry=ttu&g_ep=EgoyMDI0MDgyOC4wIKXMDSoASAFQAw%3D%3D",Flock Camera,Portage Path/W Market St #2,Config 2,
"41.09725, -81.54525",United States,"https://www.google.com/maps/place/41%C2%B005'50.1%22N+81%C2%B032'42.9%22W/@41.097239,-81.5458837,295m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d41.097238!4d-81.54524?entry=ttu&g_ep=EgoyMDI0MDkwNC4wIKXMDSoASAFQAw%3D%3D",Flock Camera,Portage Path/W Market St #3,Config 3,
"41.096917, -81.544056",United States,"https://www.google.com/maps/place/41%C2%B005'48.9%22N+81%C2%B032'38.6%22W/@41.096918,-81.5447037,295m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d41.096917!4d-81.54406?entry=ttu&g_ep=EgoyMDI0MDkwNC4wIKXMDSoASAFQAw%3D%3D",Flock Camera,Portage Path/W Market St #4,Config 2,
"41.12275, -81.523972",United States,"https://www.google.com/maps/place/41%C2%B007'21.9%22N+81%C2%B031'26.3%22W/@41.122753,-81.5246147,295m/data=!3m2!1e3!4b1!4m12!1m7!3m6!1s0x8830d7c9e17c1933:0xb6824a497a6002cd!2sHimelright+Lodge!8m2!3d41.1226768!4d-81.5248413!16s%2Fg%2F11sx3vqj3s!3m3!8m2!3d41.122752!4d-81.523971?entry=ttu&g_ep=EgoyMDI0MDkwNC4wIKXMDSoASAFQAw%3D%3D",Flock Camera,Himelright Lodge/Cuyahoga St #1,Config 1,
"41.139028, -81.537139",United States,"https://www.google.com/maps/place/41%C2%B008'20.5%22N+81%C2%B032'13.7%22W/@41.139026,-81.5377947,295m/data=!3m2!1e3!4b1!4m12!1m7!3m6!1s0x8830d822e16a7cd7:0x19ffb1a2dd081f3b!2sTimber+Top+Apartments+%26+Townhomes!8m2!3d41.138967!4d-81.54019!16s%2Fg%2F1v3knq9p!3m3!8m2!3d41.139025!4d-81.537151?entry=ttu&g_ep=EgoyMDI0MDkyOS4wIKXMDSoASAFQAw%3D%3D",Flock Camera,Timbertop #1,Config 1,
"41.138556, -81.540722",United States,"https://www.google.com/maps/place/41%C2%B008'18.8%22N+81%C2%B032'26.6%22W/@41.138543,-81.5413587,295m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d41.138542!4d-81.540715?entry=ttu&g_ep=EgoyMDI0MDkyOS4wIKXMDSoASAFQAw%3D%3D",Flock Camera,Timbertop #2,Config 1,
"41.138611, -81.541",United States,"https://www.google.com/maps/place/41%C2%B008'19.0%22N+81%C2%B032'27.6%22W/@41.138608,-81.5416457,295m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d41.138607!4d-81.541002?entry=ttu&g_ep=EgoyMDI0MDkyOS4wIKXMDSoASAFQAw%3D%3D",Flock Camera,Timbertop #3,Config 1,
"41.101806,-81.466167",United States,"https://www.google.com/maps/place/41%C2%B006'06.5%22N+81%C2%B027'58.2%22W/@41.101807,-81.4668107,287m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d41.101806!4d-81.466167?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Flock Camera,Brittain/Tallmadge #4,Config 2,
