longitude,latitude,note a,note b,make,model,type,integrated,date integrated,note c,disposition,status,statusChangeTimestamp,directions
-84.388258,33.8451622,536f5145-4807-42f8-b506-9cee870da730,147 West Paces Ferry Rd NW at Cherokee Town CC (No camera),Axis,Q6055-E,PTZ,,,,External,Down,2023-08-12T17:05:33.064608-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.84516223676783,-84.38825832635459"
-84.386315,33.736772,542f4eb8-9f6b-4dd8-812a-214b718cbbe4,Fraser St SE and Georgia Ave SE | Quad-3,Axis,Q-6010-E,PTZ,,,,External,Down,2023-08-28T02:28:49.172748-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.736771978960064,-84.38631460699072"
-84.384991,33.7598921,57a3f138-78f7-4fd7-b12d-3a5d5475f661,APD skywatch tower at 60 Andrew Young | Quad 4 (Not Always On),Axis,Q6010-E,Fixed,,,,External,Down,2023-08-24T11:59:27.296857-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.75989208032854,-84.38499126613159"
-84.387784,33.75875,57da8ef0-b501-403c-8586-d49520e229fa,180PT Call Floor Group 1 - Fire Pod and Rear Entrance,Axis,M7016,Fixed,,,,Internal,Down,2023-08-31T07:39:18.885660-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.75874997091902,-84.38778374967312"
-84.399966,33.8169418,587d095b-3cee-4216-b565-423d78a15967,Woodward Way NW and Havenridge Dr NW | PTZ,Axis,Q6075-E,PTZ,,,,External,Down,2023-08-28T02:27:04.976125-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.81694177409302,-84.3999658638237"
-84.394571,33.7367748,59f4dcef-1bd9-4352-9121-330747fca227,Ralph David Abernathy Blvd SW and Pryor St SW | QUAD-4,Axis,Q6010-E,Fixed,,,,External,Down,2023-08-28T02:28:32.216652-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.73677476710898,-84.39457111689082"
-84.381873,33.7675982,5c299909-122b-4675-98a1-b12faad9e23e,Pine St NE and Piedmont Ave NE | Quad-2,Axis,Q6010-E,Fixed,,,,External,Down,2023-08-28T18:51:24.124713-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.767598163045726,-84.38187324292221"
-84.386297,33.7367767,606779a4-6723-4f9f-b43d-9a185320c7a4,Fraser St SE and Georgia Ave SE | Quad-2,Axis,Q-6010-E,PTZ,,,,External,Down,2023-08-28T02:28:46.877828-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.73677671881338,-84.386296837356"
-84.428315,33.7885218,6093763b-153d-418b-8c37-a0168cc43287,Marietta Blvd and Huff Rd | PTZ,Axis,Q6055-E,PTZ,,,,External,Down,2023-08-29T19:21:14.101656-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.78852182706794,-84.42831462883605"
-84.43347,33.8588909,6576e7ab-6136-47d5-b272-d31ca39a2891,Northside Pkwy NW and Beechwood Dr NW  | PTZ,Axis,Q6075-E,PTZ,,,,External,Down,2023-08-07T16:33:52.619147-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.85889089943111,-84.4334697753092"
-84.384881,33.7599501,65cac06a-7731-4801-b814-6fbdea0acda8,APD skywatch tower at 60 Andrew Young | Quad 1 (Not Always On),Axis,Q6010-E,Fixed,,,,External,Down,2023-08-24T11:59:28.308557-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.759950058176486,-84.38488129556198"
-84.469823,33.7752171,6778d190-86ee-4afe-9e0d-feda3027f9ed,2555 Donald Lee Hollowell NW - APDHS,Canon,CR-N300,PTZ,,,,External,Down,2023-08-24T23:31:24.441729-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.775217107174896,-84.4698225300247"
-84.396023,33.7613245,689bf53c-35b0-430d-b97e-f9fbecbb75d5,Marietta St NW and Baker St NW | PTZ,Axis,Q6055-E,PTZ,,,,External,Down,2023-08-16T13:08:12.868442-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.761324450783356,-84.39602310318934"
-84.451434,33.7005034,707a5d08-26a3-4a0c-8df3-1fc9f05214ee,1935 Alison Ct | PTZ,Axis,Q6045 Mk II,PTZ,,,,External,Down,2022-10-23T04:28:20.560620-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.70050337541155,-84.45143365476991"
-84.362819,33.7081027,72f0935e-b566-4aed-a7f4-d84715e22c22,600 New Town Circle SE | Quad 4,Axis,Q6075-E,Fixed,,,,External,Down,2023-08-07T17:52:39.525246-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.70810273721615,-84.3628186650818"
-84.415155,33.754658,759a0ec0-b677-4940-a64e-33ff98184da2,844 Martin Luther King SW - APDHS,Sony,SNC-EP520,PTZ,,,,External,Down,2023-08-24T23:29:30.493213-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.7546579802393,-84.41515464851074"
-84.394958,33.7601093,75c30e4d-dd62-4fe1-b0de-15c8d03d7c61,Marietta St and Park Ave | Quad 1,Axis,Q6000-E Mk II,Fixed,,,,External,Down,2023-08-16T13:08:08.318392-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.76010928973727,-84.39495836319466"
-84.390037,33.8390771,75d428e4-afa5-471d-910a-1823783d7ec8,Andrews Dr and Austell Way | QUAD-1,Axis,AXIS Q6000-E Mk II,Fixed,,,,External,Down,2023-08-29T19:44:37.023287-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.83907709286265,-84.3900372285622"
-84.39004,33.8390645,761eb59f-9a6a-46b9-a687-a2ae681ecfbb,Andrews Dr and Austell Way | QUAD-4,Axis,AXIS Q6000-E Mk II,Fixed,,,,External,Down,2023-08-29T19:44:37.976636-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.83906453419461,-84.39004048037395"
-84.399933,33.8101717,7833c7c9-aa8a-4d50-9625-10ca2fbfe897,Redland Rd NW and Golfview Dr NW | Quad-4,Axis,Q6000-E Mk II,Fixed,,,,External,Down,2023-08-28T19:02:52.681133-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.81017172493311,-84.39993254741522"
-84.39458,33.7418454,7b63a1da-37c0-48fc-bb63-cc927e1aa20e,Fulton St SW and Pryor St SW | QUAD-4,Axis,Q6010-E,PTZ,,,,External,Down,2023-08-28T02:21:18.382331-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.74184542382042,-84.39457949879399"
-84.404793,33.7691085,7c8256cb-e8c5-4cfb-926e-e491d7f57451,Northside Dr / Meldrum St - APDHS,Sony,SNC-EP520,PTZ,,,,External,Down,2023-08-16T14:53:34.901251-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.7691085,-84.4047932"
-84.387861,33.8363199,7e8c9431-128e-421e-8032-c62faa21686b,Andrews Dr NW and Slaton Dr NW | QUAD-3,Axis,Q6000-E,PTZ,,,,External,Down,2023-08-28T02:56:50.504215-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.8363199290542,-84.38786110185242"
-84.395337,33.7477366,7f4e3021-d398-49b2-807b-f0a746d1a1f6,Not deployed - 166.142.244.196,Sony,SNC-EP520,PTZ,,,,External,Down,2023-01-18T15:17:05.199204-05:00,"https://www.google.com/maps/dir/?api=1&destination=33.74773658743261,-84.39533707619628"
-84.353088,33.7186297,7f8c152c-5a80-4240-96fb-1a3b6ebcb67e,Parking Lot East View - Center Lane,Avigilon,15C-H4A-3MH-180,Fixed,,,,External,Down,2023-08-28T18:53:09.913890-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.71862966042949,-84.35308799316836"
-84.359782,33.707288,80ab0039-327a-498e-8fe4-42c39602f610,990 New Town Cir SE | Quad-4,Axis,Q6010-E,PTZ,,,,External,Down,2023-06-30T14:41:57.510201-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.70728801348581,-84.35978225337297"
-84.387925,33.7588229,832c1814-ef39-422f-9964-ae2ee500cd88,180PT Call Floor Group 2 - Main Door,Axis,M7016,Fixed,,,,Internal,Down,2023-08-31T07:39:15.381979-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.75882288590006,-84.3879251420938"
-84.399917,33.816856,83540b1f-e1ed-4b5e-aa9c-3695821309f8,Woodward Way NW and Havenridge Dr NW | Quad-4,Axis,Q6010-E,PTZ,,,,External,Down,2023-08-28T02:27:02.835854-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.816855979389615,-84.3999172487853"
-84.362784,33.7081256,835fe7d6-5c2d-43a4-a820-0a165959d8e3,600 New Town Circle SE | Quad 2,Axis,Q6075-E,Fixed,,,,External,Down,2023-08-07T17:52:32.708422-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.70812560767284,-84.36278379636461"
-84.353206,33.717831,86753053-165b-4a1b-a95f-f7160dc4b938,Walking Trail - Far End (3),Avigilon,15C-H4A-3MH-270,Fixed,,,,External,Down,2023-08-28T09:29:37.226527-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.71783096199396,-84.35320601036501"
-84.359594,33.7089205,86ade5cd-2ba0-4ab5-87e2-9afc60c2954f,New Town Circ SE and McDonough Blvd SE | PTZ,Axis,Q6075-E,PTZ,,,,External,Down,2023-08-28T18:56:06.262501-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.70892050186758,-84.35959374889732"
-84.396036,33.7613372,86b52a73-b785-411d-b062-b1f90ae6cc60,Marietta St NW and Baker St NW | Quad 4,Axis,Q6000-E Mk II,Fixed,,,,External,Down,2023-08-16T13:08:07.447483-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.76133717624309,-84.39603597365513"
-84.387791,33.7586121,89337107-4131-483e-b3e9-a349f387df42,180PT C04 911 center side doorway (No Ping),Panasonic,WV-NF284,Fixed,,,,Internal,Down,2023-07-30T00:05:59.926566-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.75861208019816,-84.38779095795594"
-84.362803,33.7080988,89d75a9f-21f4-4c34-809d-6865ecc60e3f,600 New Town Circle SE | Quad 3,Axis,Q6075-E,Fixed,,,,External,Down,2023-08-07T17:52:28.539576-04:00,"https://www.google.com/maps/dir/?api=1&destination=33.70809883250342,-84.36280257182771"
